timestep, s, u, i, r
0, 589, 6, 5, 0
1, 577, 17, 4, 2
2, 568, 23, 2, 7
3, 555, 27, 6, 12
4, 532, 41, 13, 14
5, 518, 44, 15, 23
6, 504, 42, 23, 31
7, 493, 34, 33, 40
8, 477, 36, 39, 48
9, 456, 42, 43, 59
10, 447, 41, 47, 65
11, 436, 36, 54, 74
12, 423, 31, 64, 82
13, 414, 28, 66, 92
14, 399, 35, 68, 98
15, 383, 37, 73, 107
16, 365, 41, 74, 120
17, 349, 41, 77, 133
18, 332, 42, 77, 149
19, 318, 40, 84, 158
20, 309, 34, 87, 170
21, 298, 28, 94, 180
22, 293, 19, 93, 195
23, 288, 18, 87, 207
24, 282, 15, 83, 220
25, 274, 15, 83, 228
26, 264, 19, 82, 235
27, 255, 25, 76, 244
28, 243, 27, 72, 258
29, 237, 23, 70, 270
30, 233, 16, 70, 281
31, 223, 15, 71, 291
32, 219, 16, 67, 298
33, 215, 16, 66, 303
34, 210, 11, 70, 309
35, 206, 11, 66, 317
36, 203, 11, 66, 320
37, 200, 10, 64, 326
38, 197, 9, 60, 334
39, 196, 7, 61, 336
40, 195, 5, 57, 343
41, 194, 3, 55, 348
42, 191, 5, 49, 355
43, 191, 3, 47, 359
44, 187, 6, 43, 364
45, 184, 6, 41, 369
46, 183, 6, 38, 373
47, 181, 5, 38, 376
48, 179, 5, 37, 379
49, 177, 6, 34, 383
50, 176, 5, 32, 387
51, 172, 6, 29, 393
52, 171, 5, 28, 396
53, 170, 6, 24, 400
54, 166, 6, 24, 404
55, 164, 7, 25, 404
56, 162, 7, 22, 409
57, 162, 2, 22, 414
58, 160, 3, 21, 416
59, 159, 3, 20, 418
60, 158, 4, 16, 422
61, 155, 5, 18, 422
62, 154, 5, 17, 424
63, 153, 4, 16, 427
64, 151, 4, 17, 428
65, 149, 5, 16, 430
66, 148, 5, 15, 432
67, 148, 3, 13, 436
68, 146, 3, 12, 439
69, 144, 4, 11, 441
70, 142, 6, 10, 442
71, 138, 8, 10, 444
72, 136, 8, 12, 444
73, 134, 7, 10, 449
74, 132, 4, 12, 452
75, 131, 3, 11, 455
76, 126, 6, 11, 457
77, 125, 7, 11, 457
78, 123, 8, 11, 458
79, 122, 4, 15, 459
80, 121, 4, 15, 460
81, 118, 4, 15, 463
82, 118, 4, 13, 465
83, 116, 5, 12, 467
84, 116, 2, 15, 467
85, 115, 3, 15, 467
86, 113, 3, 17, 467
87, 113, 2, 14, 471
88, 113, 1, 15, 471
89, 113, 0, 15, 472
90, 113, 0, 15, 472
91, 113, 0, 12, 475
92, 112, 1, 10, 477
93, 112, 1, 7, 480
94, 112, 1, 4, 483
95, 112, 0, 4, 484
96, 112, 0, 3, 485
97, 112, 0, 3, 485
98, 112, 0, 3, 485
99, 112, 0, 3, 485
